Mod:Item:MetaData, Localized Name
extratrees:fence.gates.butternut:0, Butternut Fence Gate
extratrees:fence.gates.fireproof.butternut:0, Butternut Fence Gate (Fireproof)
extratrees:fence.gates.hickory:0, Hickory Fence Gate
extratrees:fence.gates.fireproof.hickory:0, Hickory Fence Gate (Fireproof)
extratrees:fence.gates.whitebeam:0, Whitebeam Fence Gate
extratrees:fence.gates.fireproof.whitebeam:0, Whitebeam Fence Gate (Fireproof)
extratrees:fence.gates.elm:0, Elm Fence Gate
extratrees:fence.gates.fireproof.elm:0, Elm Fence Gate (Fireproof)
extratrees:fence.gates.apple:0, Apple Fence Gate
extratrees:fence.gates.fireproof.apple:0, Apple Fence Gate (Fireproof)
extratrees:fence.gates.yew:0, Yew Fence Gate
extratrees:fence.gates.fireproof.yew:0, Yew Fence Gate (Fireproof)
extratrees:fence.gates.pear:0, Pear Fence Gate
extratrees:fence.gates.fireproof.pear:0, Pear Fence Gate (Fireproof)
extratrees:fence.gates.hawthorn:0, Hawthorn Fence Gate
extratrees:fence.gates.fireproof.hawthorn:0, Hawthorn Fence Gate (Fireproof)
extratrees:fence.gates.rowan:0, Rowan Fence Gate
extratrees:fence.gates.fireproof.rowan:0, Rowan Fence Gate (Fireproof)
extratrees:fence.gates.elder:0, Elder Fence Gate
extratrees:fence.gates.fireproof.elder:0, Elder Fence Gate (Fireproof)
extratrees:fence.gates.maclura:0, Maclura Fence Gate
extratrees:fence.gates.fireproof.maclura:0, Maclura Fence Gate (Fireproof)
extratrees:fence.gates.syzgium:0, Syzgium Fence Gate
extratrees:fence.gates.fireproof.syzgium:0, Syzgium Fence Gate (Fireproof)
extratrees:fence.gates.brazilwood:0, Brazilwood Fence Gate
extratrees:fence.gates.fireproof.brazilwood:0, Brazilwood Fence Gate (Fireproof)
extratrees:fence.gates.logwood:0, Logwood Fence Gate
extratrees:fence.gates.fireproof.logwood:0, Logwood Fence Gate (Fireproof)
extratrees:fence.gates.iroko:0, Iroko Fence Gate
extratrees:fence.gates.fireproof.iroko:0, Iroko Fence Gate (Fireproof)
extratrees:fence.gates.locust:0, Locust Fence Gate
extratrees:fence.gates.fireproof.locust:0, Locust Fence Gate (Fireproof)
extratrees:fence.gates.eucalyptus:0, Eucalyptus Fence Gate
extratrees:fence.gates.fireproof.eucalyptus:0, Eucalyptus Fence Gate (Fireproof)
extratrees:fence.gates.purpleheart:0, Purpleheart Fence Gate
extratrees:fence.gates.fireproof.purpleheart:0, Purpleheart Fence Gate (Fireproof)
extratrees:fence.gates.ash:0, Ash Fence Gate
extratrees:fence.gates.fireproof.ash:0, Ash Fence Gate (Fireproof)
extratrees:fence.gates.holly:0, Holly Fence Gate
extratrees:fence.gates.fireproof.holly:0, Holly Fence Gate (Fireproof)
extratrees:fence.gates.olive:0, Olive Fence Gate
extratrees:fence.gates.fireproof.olive:0, Olive Fence Gate (Fireproof)
extratrees:fence.gates.sweetgum:0, Sweetgum Fence Gate
extratrees:fence.gates.fireproof.sweetgum:0, Sweetgum Fence Gate (Fireproof)
extratrees:fence.gates.rosewood:0, Rosewood Fence Gate
extratrees:fence.gates.fireproof.rosewood:0, Rosewood Fence Gate (Fireproof)
extratrees:fence.gates.gingko:0, Gingko Fence Gate
extratrees:fence.gates.fireproof.gingko:0, Gingko Fence Gate (Fireproof)
extratrees:fence.gates.pinkivory:0, Pink Ivory Fence Gate
extratrees:fence.gates.fireproof.pinkivory:0, Pink Ivory Fence Gate (Fireproof)
extratrees:fence.gates.banana:0, Banana Fence Gate
extratrees:fence.gates.fireproof.banana:0, Banana Fence Gate (Fireproof)
extratrees:doors.apple:0, Apple Door
extratrees:doors.fig:0, Fig Door
extratrees:doors.butternut:0, Butternut Door
extratrees:doors.whitebeam:0, Whitebeam Door
extratrees:doors.rowan:0, Rowan Door
extratrees:doors.hemlock:0, Hemlock Door
extratrees:doors.ash:0, Ash Door
extratrees:doors.alder:0, Alder Door
extratrees:doors.beech:0, Beech Door
extratrees:doors.hawthorn:0, Hawthorn Door
extratrees:doors.banana:0, Banana Door
extratrees:doors.yew:0, Yew Door
extratrees:doors.cypress:0, Cypress Door
extratrees:doors.fir:0, Fir Door
extratrees:doors.hazel:0, Hazel Door
extratrees:doors.hickory:0, Hickory Door
extratrees:doors.elm:0, Elm Door
extratrees:doors.elder:0, Elder Door
extratrees:doors.holly:0, Holly Door
extratrees:doors.hornbeam:0, Hornbeam Door
extratrees:doors.cedar:0, Cedar Door
extratrees:doors.olive:0, Olive Door
extratrees:doors.sweetgum:0, Sweetgum Door
extratrees:doors.locust:0, Locust Door
extratrees:doors.pear:0, Pear Door
extratrees:doors.maclura:0, Maclura Door
extratrees:doors.brazilwood:0, Brazilwood Door
extratrees:doors.logwood:0, Logwood Door
extratrees:doors.rosewood:0, Rosewood Door
extratrees:doors.purpleheart:0, Purpleheart Door
extratrees:doors.iroko:0, Iroko Door
extratrees:doors.gingko:0, Gingko Door
extratrees:doors.eucalyptus:0, Eucalyptus Door
extratrees:doors.box:0, Box Door
extratrees:doors.syzgium:0, Syzgium Door
extratrees:doors.pinkivory:0, Pink Ivory Door
extratrees:multifence, tile.null.name
extratrees:leaves.decorative.0:0, Leaves
extratrees:leaves.decorative.0:1, Leaves
extratrees:leaves.decorative.0:2, Leaves
extratrees:leaves.decorative.0:3, Leaves
extratrees:leaves.decorative.0:4, Leaves
extratrees:leaves.decorative.0:5, Leaves
extratrees:leaves.decorative.0:6, Leaves
extratrees:leaves.decorative.0:7, Leaves
extratrees:leaves.decorative.0:8, Leaves
extratrees:leaves.decorative.0:9, Leaves
extratrees:leaves.decorative.0:10, Leaves
extratrees:leaves.decorative.0:11, Leaves
extratrees:leaves.decorative.0:12, Leaves
extratrees:leaves.decorative.0:13, Leaves
extratrees:leaves.decorative.0:14, Leaves
extratrees:leaves.decorative.0:15, Leaves
extratrees:leaves.decorative.1:0, Leaves
extratrees:leaves.decorative.1:1, Leaves
extratrees:leaves.decorative.1:2, Leaves
extratrees:leaves.decorative.1:3, Leaves
extratrees:leaves.decorative.1:4, Leaves
extratrees:leaves.decorative.1:5, Leaves
extratrees:leaves.decorative.1:6, Leaves
extratrees:leaves.decorative.1:7, Leaves
extratrees:leaves.decorative.1:8, Leaves
extratrees:leaves.decorative.1:9, Leaves
extratrees:leaves.decorative.1:10, Leaves
extratrees:leaves.decorative.1:11, Leaves
extratrees:leaves.decorative.1:12, Leaves
extratrees:leaves.decorative.1:13, Leaves
extratrees:leaves.decorative.1:14, Leaves
extratrees:leaves.decorative.1:15, Leaves
extratrees:leaves.decorative.2:0, Leaves
extratrees:leaves.decorative.2:1, Leaves
extratrees:leaves.decorative.2:2, Leaves
extratrees:leaves.decorative.2:3, Leaves
extratrees:leaves.decorative.2:4, Leaves
extratrees:leaves.decorative.2:5, Leaves
extratrees:leaves.decorative.2:6, Leaves
extratrees:leaves.decorative.2:7, Leaves
extratrees:leaves.decorative.2:8, Leaves
extratrees:leaves.decorative.2:9, Leaves
extratrees:leaves.decorative.2:10, Leaves
extratrees:leaves.decorative.2:11, Leaves
extratrees:leaves.decorative.2:12, Leaves
extratrees:leaves.decorative.2:13, Leaves
extratrees:leaves.decorative.2:14, Leaves
extratrees:leaves.decorative.2:15, Leaves
extratrees:leaves.decorative.3:0, Leaves
extratrees:leaves.decorative.3:1, Leaves
extratrees:leaves.decorative.3:2, Leaves
extratrees:leaves.decorative.3:3, Leaves
extratrees:leaves.decorative.3:4, Leaves
extratrees:leaves.decorative.3:5, Leaves
extratrees:leaves.decorative.3:6, Leaves
extratrees:leaves.decorative.3:7, Leaves
extratrees:leaves.decorative.3:8, Leaves
extratrees:leaves.decorative.3:9, Leaves
extratrees:leaves.decorative.3:10, Leaves
extratrees:leaves.decorative.3:11, Leaves
extratrees:leaves.decorative.3:12, Leaves
extratrees:leaves.decorative.3:13, Leaves
extratrees:leaves.decorative.3:14, Leaves
extratrees:leaves.decorative.3:15, Leaves
extratrees:leaves.decorative.4:0, Leaves
extratrees:leaves.decorative.4:1, Leaves
extratrees:leaves.decorative.4:2, Leaves
extratrees:leaves.decorative.4:3, Leaves
extratrees:leaves.decorative.4:4, Leaves
extratrees:leaves.decorative.4:5, Leaves
extratrees:leaves.decorative.4:6, Leaves
extratrees:leaves.decorative.4:7, Leaves
extratrees:leaves.decorative.4:8, Leaves
extratrees:leaves.decorative.4:9, Leaves
extratrees:leaves.decorative.4:10, Leaves
extratrees:leaves.decorative.4:11, Leaves
extratrees:leaves.decorative.4:12, Leaves
extratrees:leaves.decorative.4:13, Leaves
extratrees:leaves.decorative.4:14, Leaves
extratrees:leaves.decorative.4:15, Leaves
extratrees:leaves.decorative.5:0, Leaves
extratrees:leaves.decorative.5:1, Leaves
extratrees:leaves.decorative.5:2, Leaves
extratrees:leaves.decorative.5:3, Leaves
extratrees:leaves.decorative.5:4, Leaves
extratrees:leaves.decorative.5:5, Leaves
extratrees:leaves.decorative.5:6, Leaves
extratrees:leaves.decorative.5:7, Leaves
extratrees:leaves.decorative.5:8, Leaves
extratrees:leaves.decorative.5:9, Leaves
extratrees:leaves.decorative.5:10, Leaves
extratrees:leaves.decorative.5:11, Leaves
extratrees:leaves.decorative.5:12, Leaves
extratrees:leaves.decorative.5:13, Leaves
extratrees:leaves.decorative.5:14, Leaves
extratrees:leaves.decorative.5:15, Leaves
extratrees:leaves.decorative.6:0, Leaves
extratrees:shrub_log:0, Shrub Wood
extratrees:databaselepi, item.databaseLepi.name
extratrees:machine:0, Lumbermill
extratrees:machine:1, Woodworker
extratrees:machine:2, Panelworker
extratrees:machine:4, Fruit Press
extratrees:machine:5, Brewery
extratrees:machine:6, Distillery
extratrees:machine:7, Glassworker
extratrees:carpentry, tile.null.name
extratrees:carpentrypanel, tile.null.name
extratrees:stainedglass, tile.null.name
extratrees:drink:0, Beer Mug
extratrees:drink:0, Pint Glass
extratrees:drink:0, Snifter Glass
extratrees:drink:0, Flute Glass
extratrees:drink:0, Cocktail Glass
extratrees:drink:0, Cordial Glass
extratrees:drink:0, Collins Glass
extratrees:drink:0, Highball Glass
extratrees:drink:0, Hurricane Glass
extratrees:drink:0, Margarita Glass
extratrees:drink:0, Old Fashioned Glass
extratrees:drink:0, Wine Glass
extratrees:drink:0, Shot Glass
extratrees:drink:0, Sherry Glass
extratrees:drink:0, Coupe Glass
extratrees:drink:0, Wine Glass
extratrees:databasetree, item.databaseTree.name
extratrees:binnie.juice.apple, tile.extratrees.fluid.juice.apple.name
extratrees:binnie.juice.apricot, tile.extratrees.fluid.juice.apricot.name
extratrees:binnie.juice.banana, tile.extratrees.fluid.juice.banana.name
extratrees:binnie.juice.cherry, tile.extratrees.fluid.juice.cherry.name
extratrees:binnie.juice.elderberry, tile.extratrees.fluid.juice.elderberry.name
extratrees:binnie.juice.lemon, tile.extratrees.fluid.juice.lemon.name
extratrees:binnie.juice.lime, tile.extratrees.fluid.juice.lime.name
extratrees:binnie.juice.orange, tile.extratrees.fluid.juice.orange.name
extratrees:binnie.juice.peach, tile.extratrees.fluid.juice.peach.name
extratrees:binnie.juice.plum, tile.extratrees.fluid.juice.plum.name
extratrees:binnie.juice.carrot, tile.extratrees.fluid.juice.carrot.name
extratrees:binnie.juice.tomato, tile.extratrees.fluid.juice.tomato.name
extratrees:binnie.juice.cranberry, tile.extratrees.fluid.juice.cranberry.name
extratrees:binnie.juice.grapefruit, tile.extratrees.fluid.juice.grapefruit.name
extratrees:binnie.juice.olive, tile.extratrees.fluid.juice.olive.name
extratrees:binnie.juice.pineapple, tile.extratrees.fluid.juice.pineapple.name
extratrees:binnie.juice.pear, tile.extratrees.fluid.juice.pear.name
extratrees:binnie.juice.white.grape, tile.extratrees.fluid.juice.whitegrape.name
extratrees:binnie.juice.red.grape, tile.extratrees.fluid.juice.redgrape.name
extratrees:binnie.cider.apple, tile.extratrees.fluid.alcohol.apple.name
extratrees:binnie.wine.apricot, tile.extratrees.fluid.alcohol.apricot.name
extratrees:binnie.wine.banana, tile.extratrees.fluid.alcohol.banana.name
extratrees:binnie.wine.cherry, tile.extratrees.fluid.alcohol.cherry.name
extratrees:binnie.wine.elderberry, tile.extratrees.fluid.alcohol.elderberry.name
extratrees:binnie.cider.peach, tile.extratrees.fluid.alcohol.peach.name
extratrees:binnie.ciderpear, tile.extratrees.fluid.alcohol.pear.name
extratrees:binnie.wine.plum, tile.extratrees.fluid.alcohol.plum.name
extratrees:binnie.wine.carrot, tile.extratrees.fluid.alcohol.carrot.name
extratrees:binnie.wine.white, tile.extratrees.fluid.alcohol.whitewine.name
extratrees:binnie.wine.red, tile.extratrees.fluid.alcohol.redwine.name
extratrees:binnie.wine.sparkling, tile.extratrees.fluid.alcohol.sparklingwine.name
extratrees:binnie.wine.agave, tile.extratrees.fluid.alcohol.agave.name
extratrees:binnie.fermented.potatoes, tile.extratrees.fluid.alcohol.potato.name
extratrees:binnie.wine.citrus, tile.extratrees.fluid.alcohol.citrus.name
extratrees:binnie.wine.cranberry, tile.extratrees.fluid.alcohol.cranberry.name
extratrees:binnie.wine.pineapple, tile.extratrees.fluid.alcohol.pineapple.name
extratrees:binnie.wine.tomato, tile.extratrees.fluid.alcohol.tomato.name
extratrees:binnie.juice, tile.extratrees.fluid.alcohol.fruit.name
extratrees:binnie.beer.ale, tile.extratrees.fluid.alcohol.ale.name
extratrees:binnie.beer.lager, tile.extratrees.fluid.alcohol.lager.name
extratrees:binnie.beer.wheat, tile.extratrees.fluid.alcohol.wheatbeer.name
extratrees:binnie.beer.rye, tile.extratrees.fluid.alcohol.ryebeer.name
extratrees:binnie.beer.corn, tile.extratrees.fluid.alcohol.cornbeer.name
extratrees:binnie.beer.stout, tile.extratrees.fluid.alcohol.stout.name
extratrees:binnie.mash.grain, tile.extratrees.fluid.alcohol.barley.name
extratrees:binnie.mash.wheat, tile.extratrees.fluid.alcohol.wheat.name
extratrees:binnie.mash.rye, tile.extratrees.fluid.alcohol.rye.name
extratrees:binnie.mash.corn, tile.extratrees.fluid.alcohol.corn.name
extratrees:binnie.spirit.neutral, tile.extratrees.fluid.spirit.neutralspirit.name
extratrees:binnie.vodka, tile.extratrees.fluid.spirit.vodka.name
extratrees:binnie.rum.white, tile.extratrees.fluid.spirit.whiterum.name
extratrees:binnie.rum.dark, tile.extratrees.fluid.spirit.darkrum.name
extratrees:binnie.whiskey, tile.extratrees.fluid.spirit.whiskey.name
extratrees:binnie.whiskey.corn, tile.extratrees.fluid.spirit.cornwhiskey.name
extratrees:binnie.whiskey.rye, tile.extratrees.fluid.spirit.ryewhiskey.name
extratrees:binnie.whiskey.wheat, tile.extratrees.fluid.spirit.wheatwhiskey.name
extratrees:binnie.wine.fortified, tile.extratrees.fluid.spirit.fortifiedwine.name
extratrees:binnie.tequila, tile.extratrees.fluid.spirit.tequila.name
extratrees:binnie.brandy.grape, tile.extratrees.fluid.spirit.brandy.name
extratrees:binnie.brandy.apple, tile.extratrees.fluid.spirit.applebrandy.name
extratrees:binnie.brandy.pear, tile.extratrees.fluid.spirit.pearbrandy.name
extratrees:binnie.brandy.apricot, tile.extratrees.fluid.spirit.apricotbrandy.name
extratrees:binnie.brandy.plum, tile.extratrees.fluid.spirit.plumbrandy.name
extratrees:binnie.brandy.cherry, tile.extratrees.fluid.spirit.cherrybrandy.name
extratrees:binnie.brandy.elderberry, tile.extratrees.fluid.spirit.elderberrybrandy.name
extratrees:binnie.brandy.citrus, tile.extratrees.fluid.spirit.citrusbrandy.name
extratrees:binnie.brandy.fruit, tile.extratrees.fluid.spirit.fruitbrandy.name
extratrees:binnie.spirit.sugarcane, tile.extratrees.fluid.spirit.cachaca.name
extratrees:binnie.spirit.gin, tile.extratrees.fluid.spirit.gin.name
extratrees:binnie.liquor.apple, tile.extratrees.fluid.spirit.appleliquor.name
extratrees:binnie.liquor.pear, tile.extratrees.fluid.spirit.pearliquor.name
extratrees:binnie.liquor.cherry, tile.extratrees.fluid.spirit.cherryliquor.name
extratrees:binnie.liquor.elderberry, tile.extratrees.fluid.spirit.elderberryliquor.name
extratrees:binnie.liquor.apricot, tile.extratrees.fluid.spirit.apricotliquor.name
extratrees:binnie.liquor.fruit, tile.extratrees.fluid.spirit.fruitliquor.name
extratrees:binnie.liqueur.almond, tile.extratrees.fluid.liqueur.almond.name
extratrees:binnie.liqueur.orange, tile.extratrees.fluid.liqueur.orange.name
extratrees:binnie.liqueur.banana, tile.extratrees.fluid.liqueur.banana.name
extratrees:binnie.liqueur.chocolate, tile.extratrees.fluid.liqueur.chocolate.name
extratrees:binnie.liqueur.mint, tile.extratrees.fluid.liqueur.mint.name
extratrees:binnie.liqueur.hazelnut, tile.extratrees.fluid.liqueur.hazelnut.name
extratrees:binnie.liqueur.cinnamon, tile.extratrees.fluid.liqueur.cinnamon.name
extratrees:binnie.liqueur.coffee, tile.extratrees.fluid.liqueur.coffee.name
extratrees:binnie.liqueur.melon, tile.extratrees.fluid.liqueur.melon.name
extratrees:binnie.liqueur.anise, tile.extratrees.fluid.liqueur.anise.name
extratrees:binnie.liqueur.peach, tile.extratrees.fluid.liqueur.peach.name
extratrees:binnie.liqueur.lemon, tile.extratrees.fluid.liqueur.lemon.name
extratrees:binnie.liqueur.herbal, tile.extratrees.fluid.liqueur.herbal.name
extratrees:binnie.liqueur.cherry, tile.extratrees.fluid.liqueur.cherry.name
extratrees:binnie.liqueur.blackcurrant, tile.extratrees.fluid.liqueur.blackcurrant.name
extratrees:binnie.liqueur.blackberry, tile.extratrees.fluid.liqueur.blackberry.name
extratrees:binnie.liqueur.raspberry, tile.extratrees.fluid.liqueur.raspberry.name
careerbees:flower_pedastal, Flower Pedastal
careerbees:alveary_frame, Alveary Frame Holder
careerbees:mutation_frame, Mutation Frame
careerbees:eternalframe, Eternal Frame
careerbees:beegun, Bee-Bee Gun
careerbees:poison_frame, Poison Frame
careerbees:pheremone_frame, Pheremone Frame
careerbees:ingredients:4, Iron Dust
careerbees:ingredients:5, Gold Dust
careerbees:ingredients:6, Copper Dust
careerbees:ingredients:7, Tin Dust
careerbees:ingredients:8, Bronze Dust
careerbees:ingredients:9, Police Incident Report
careerbees:ingredients:10, Honey-Comb Ingot
careerbees:ingredients:11, Ying Essence
careerbees:ingredients:12, Yang Essence
careerbees:ingredients:13, Triquetra
careerbees:settings_frame, Settings Frame
careerbees:bee.armor.feet, Bee Armor Boots
careerbees:bee.armor.legs, Bee Armor Leggings
careerbees:bee.armor.chest, Bee Armor Chestplate
careerbees:bee.armor.head, Bee Armor Helmet
enderstorage:ender_storage:0, Ender Chest
enderstorage:ender_storage:1, Ender Tank
enderstorage:ender_pouch, Ender Pouch
thermalfoundation:ore:0, Copper Ore
thermalfoundation:ore:1, Tin Ore
thermalfoundation:ore:2, Silver Ore
thermalfoundation:ore:3, Lead Ore
thermalfoundation:ore:4, Aluminum Ore
thermalfoundation:ore:5, Nickel Ore
thermalfoundation:ore:6, Platinum Ore
thermalfoundation:ore:7, Iridium Ore
thermalfoundation:ore:8, Mana Infused Ore
thermalfoundation:ore_fluid:0, Oil Sand
thermalfoundation:ore_fluid:1, Oil Shale
thermalfoundation:ore_fluid:2, Destabilized Redstone Ore
thermalfoundation:ore_fluid:3, Energized Netherrack
thermalfoundation:ore_fluid:4, Resonant End Stone
thermalfoundation:ore_fluid:5, Oil Sand
thermalfoundation:storage:0, Block of Copper
thermalfoundation:storage:1, Block of Tin
thermalfoundation:storage:2, Block of Silver
thermalfoundation:storage:3, Block of Lead
thermalfoundation:storage:4, Block of Aluminum
thermalfoundation:storage:5, Block of Nickel
thermalfoundation:storage:6, Block of Platinum
thermalfoundation:storage:7, Block of Iridium
thermalfoundation:storage:8, Block of Mana Infused Metal
thermalfoundation:storage_alloy:0, Block of Steel
thermalfoundation:storage_alloy:1, Block of Electrum
thermalfoundation:storage_alloy:2, Block of Invar
thermalfoundation:storage_alloy:3, Block of Bronze
thermalfoundation:storage_alloy:4, Block of Constantan
thermalfoundation:storage_alloy:5, Block of Signalum
thermalfoundation:storage_alloy:6, Block of Lumium
thermalfoundation:storage_alloy:7, Block of Enderium
thermalfoundation:storage_resource:0, Block of Charcoal
thermalfoundation:storage_resource:1, Block of Coal Coke
thermalfoundation:glass:0, Hardened Copper Glass
thermalfoundation:glass:1, Hardened Tin Glass
thermalfoundation:glass:2, Hardened Silver Glass
thermalfoundation:glass:3, Hardened Glass
thermalfoundation:glass:4, Hardened Aluminum Glass
thermalfoundation:glass:5, Hardened Nickel Glass
thermalfoundation:glass:6, Hardened Platinum Glass
thermalfoundation:glass:7, Hardened Iridium Glass
thermalfoundation:glass:8, Hardened Mana Infused Glass
thermalfoundation:glass_alloy:0, Hardened Steel Glass
thermalfoundation:glass_alloy:1, Hardened Electrum Glass
thermalfoundation:glass_alloy:2, Hardened Invar Glass
thermalfoundation:glass_alloy:3, Hardened Bronze Glass
thermalfoundation:glass_alloy:4, Hardened Constantan Glass
thermalfoundation:glass_alloy:5, Hardened Signalum Glass
thermalfoundation:glass_alloy:6, Hardened Lumium Glass
thermalfoundation:glass_alloy:7, Hardened Enderium Glass
thermalfoundation:rockwool:0, Black Rockwool
thermalfoundation:rockwool:1, Red Rockwool
thermalfoundation:rockwool:2, Green Rockwool
thermalfoundation:rockwool:3, Brown Rockwool
thermalfoundation:rockwool:4, Blue Rockwool
thermalfoundation:rockwool:5, Purple Rockwool
thermalfoundation:rockwool:6, Cyan Rockwool
thermalfoundation:rockwool:7, Light Gray Rockwool
thermalfoundation:rockwool:8, Gray Rockwool
thermalfoundation:rockwool:9, Pink Rockwool
thermalfoundation:rockwool:10, Lime Rockwool
thermalfoundation:rockwool:11, Yellow Rockwool
thermalfoundation:rockwool:12, Light Blue Rockwool
thermalfoundation:rockwool:13, Magenta Rockwool
thermalfoundation:rockwool:14, Orange Rockwool
thermalfoundation:rockwool:15, White Rockwool
thermalfoundation:wrench:0, Crescent Hammer
thermalfoundation:meter:0, Multimeter
thermalfoundation:upgrade:0, Hardened Upgrade Kit
thermalfoundation:upgrade:1, Reinforced Upgrade Kit
thermalfoundation:upgrade:2, Signalum Upgrade Kit
thermalfoundation:upgrade:3, Resonant Upgrade Kit
thermalfoundation:upgrade:33, Reinforced Conversion Kit
thermalfoundation:upgrade:34, Signalum Conversion Kit
thermalfoundation:upgrade:35, Resonant Conversion Kit
thermalfoundation:upgrade:256, Creative Conversion Kit
thermalfoundation:security:0, Signalum Security Lock
thermalfoundation:diagram_redprint, Redprint
thermalfoundation:tome_lexicon, Forge Lexicon
thermalfoundation:tome_experience, Tome of Knowledge
thermalfoundation:coin:0, Iron Coin
thermalfoundation:coin:1, Gold Coin
thermalfoundation:coin:64, Copper Coin
thermalfoundation:coin:65, Tin Coin
thermalfoundation:coin:66, Silver Coin
thermalfoundation:coin:67, Lead Coin
thermalfoundation:coin:68, Aluminum Coin
thermalfoundation:coin:69, Nickel Coin
thermalfoundation:coin:70, Platinum Coin
thermalfoundation:coin:71, Iridium Coin
thermalfoundation:coin:72, Mana Infused Coin
thermalfoundation:coin:96, Steel Coin
thermalfoundation:coin:97, Electrum Coin
thermalfoundation:coin:98, Invar Coin
thermalfoundation:coin:99, Bronze Coin
thermalfoundation:coin:100, Constantan Coin
thermalfoundation:coin:101, Signalum Coin
thermalfoundation:coin:102, Lumium Coin
thermalfoundation:coin:103, Enderium Coin
thermalfoundation:fertilizer:0, Phyto-Gro
thermalfoundation:fertilizer:1, Rich Phyto-Gro
thermalfoundation:fertilizer:2, Fluxed Phyto-Gro
thermalfoundation:bait:0, Aqua-Chow
thermalfoundation:bait:1, Rich Aqua-Chow
thermalfoundation:bait:2, Fluxed Aqua-Chow
thermalfoundation:dye:0, Black Pigment
thermalfoundation:dye:1, Red Pigment
thermalfoundation:dye:2, Green Pigment
thermalfoundation:dye:3, Brown Pigment
thermalfoundation:dye:4, Blue Pigment
thermalfoundation:dye:5, Purple Pigment
thermalfoundation:dye:6, Cyan Pigment
thermalfoundation:dye:7, Light Gray Pigment
thermalfoundation:dye:8, Gray Pigment
thermalfoundation:dye:9, Pink Pigment
thermalfoundation:dye:10, Lime Pigment
thermalfoundation:dye:11, Yellow Pigment
thermalfoundation:dye:12, Light Blue Pigment
thermalfoundation:dye:13, Magenta Pigment
thermalfoundation:dye:14, Orange Pigment
thermalfoundation:dye:15, White Pigment
thermalfoundation:material:0, Pulverized Iron
thermalfoundation:material:1, Pulverized Gold
thermalfoundation:material:16, Diamond Nugget
thermalfoundation:material:17, Emerald Nugget
thermalfoundation:material:24, Iron Gear
thermalfoundation:material:25, Gold Gear
thermalfoundation:material:32, Iron Plate
thermalfoundation:material:33, Gold Plate
thermalfoundation:material:64, Pulverized Copper
thermalfoundation:material:65, Pulverized Tin
thermalfoundation:material:66, Pulverized Silver
thermalfoundation:material:67, Pulverized Lead
thermalfoundation:material:68, Pulverized Aluminum
thermalfoundation:material:69, Pulverized Nickel
thermalfoundation:material:70, Pulverized Platinum
thermalfoundation:material:71, Pulverized Iridium
thermalfoundation:material:72, Pulverized Mana Infused Metal
thermalfoundation:material:96, Steel Blend
thermalfoundation:material:97, Electrum Blend
thermalfoundation:material:98, Invar Blend
thermalfoundation:material:99, Bronze Blend
thermalfoundation:material:100, Constantan Blend
thermalfoundation:material:101, Signalum Blend
thermalfoundation:material:102, Lumium Blend
thermalfoundation:material:103, Enderium Blend
thermalfoundation:material:128, Copper Ingot
thermalfoundation:material:129, Tin Ingot
thermalfoundation:material:130, Silver Ingot
thermalfoundation:material:131, Lead Ingot
thermalfoundation:material:132, Aluminum Ingot
thermalfoundation:material:133, Nickel Ingot
thermalfoundation:material:134, Platinum Ingot
thermalfoundation:material:135, Iridium Ingot
thermalfoundation:material:136, Mana Infused Ingot
thermalfoundation:material:160, Steel Ingot
thermalfoundation:material:161, Electrum Ingot
thermalfoundation:material:162, Invar Ingot
thermalfoundation:material:163, Bronze Ingot
thermalfoundation:material:164, Constantan Ingot
thermalfoundation:material:165, Signalum Ingot
thermalfoundation:material:166, Lumium Ingot
thermalfoundation:material:167, Enderium Ingot
thermalfoundation:material:192, Copper Nugget
thermalfoundation:material:193, Tin Nugget
thermalfoundation:material:194, Silver Nugget
thermalfoundation:material:195, Lead Nugget
thermalfoundation:material:196, Aluminum Nugget
thermalfoundation:material:197, Nickel Nugget
thermalfoundation:material:198, Platinum Nugget
thermalfoundation:material:199, Iridium Nugget
thermalfoundation:material:200, Mana Infused Nugget
thermalfoundation:material:224, Steel Nugget
thermalfoundation:material:225, Electrum Nugget
thermalfoundation:material:226, Invar Nugget
thermalfoundation:material:227, Bronze Nugget
thermalfoundation:material:228, Constantan Nugget
thermalfoundation:material:229, Signalum Nugget
thermalfoundation:material:230, Lumium Nugget
thermalfoundation:material:231, Enderium Nugget
thermalfoundation:material:256, Copper Gear
thermalfoundation:material:257, Tin Gear
thermalfoundation:material:258, Silver Gear
thermalfoundation:material:259, Lead Gear
thermalfoundation:material:260, Aluminum Gear
thermalfoundation:material:261, Nickel Gear
thermalfoundation:material:262, Platinum Gear
thermalfoundation:material:263, Iridium Gear
thermalfoundation:material:264, Mana Infused Gear
thermalfoundation:material:288, Steel Gear
thermalfoundation:material:289, Electrum Gear
thermalfoundation:material:290, Invar Gear
thermalfoundation:material:291, Bronze Gear
thermalfoundation:material:292, Constantan Gear
thermalfoundation:material:293, Signalum Gear
thermalfoundation:material:294, Lumium Gear
thermalfoundation:material:295, Enderium Gear
thermalfoundation:material:320, Copper Plate
thermalfoundation:material:321, Tin Plate
thermalfoundation:material:322, Silver Plate
thermalfoundation:material:323, Lead Plate
thermalfoundation:material:324, Aluminum Plate
thermalfoundation:material:325, Nickel Plate
thermalfoundation:material:326, Platinum Plate
thermalfoundation:material:327, Iridium Plate
thermalfoundation:material:328, Mana Infused Plate
